iter	Passed	Remaining
1071	2436	4382
1072	2438	4379
1073	2441	4377
1074	2443	4376
1075	2446	4374
1076	2448	4371
1077	2450	4368
1078	2452	4366
1079	2454	4363
1080	2457	4361
1081	2459	4359
1082	2461	4357
1083	2463	4354
1084	2465	4352
1085	2468	4349
1086	2470	4347
1087	2473	4346
1088	2475	4344
1089	2477	4341
1090	2479	4339
1091	2481	4336
1092	2483	4333
1093	2486	4331
1094	2489	4331
1095	2491	4328
1096	2493	4325
1097	2496	4324
1098	2498	4321
1099	2500	4319
1100	2503	4317
1101	2505	4315
1102	2507	4312
1103	2509	4310
1104	2511	4307
1105	2513	4304
1106	2515	4302
1107	2518	4300
1108	2521	4298
1109	2523	4296
1110	2525	4294
1111	2527	4291
1112	2530	4289
1113	2532	4287
1114	2534	4285
1115	2537	4283
1116	2539	4280
1117	2541	4277
1118	2542	4274
1119	2544	4271
1120	2546	4268
1121	2548	4265
1122	2550	4263
1123	2553	4261
1124	2556	4260
1125	2558	4258
1126	2560	4255
1127	2562	4252
1128	2564	4249
1129	2566	4247
1130	2568	4245
1131	2570	4242
1132	2572	4239
1133	2574	4236
1134	2576	4234
1135	2578	4231
1136	2581	4229
1137	2583	4227
1138	2586	4225
1139	2588	4222
1140	2590	4220
1141	2592	4217
1142	2593	4214
1143	2595	4211
1144	2597	4208
1145	2599	4206
1146	2601	4203
1147	2603	4200
1148	2605	4197
1149	2607	4194
1150	2609	4192
1151	2611	4189
1152	2613	4187
1153	2616	4185
1154	2618	4182
1155	2620	4179
1156	2622	4176
1157	2623	4173
1158	2625	4171
1159	2627	4168
1160	2630	4165
1161	2632	4163
1162	2634	4160
1163	2636	4157
1164	2637	4154
1165	2639	4151
1166	2641	4149
1167	2643	4146
1168	2645	4144
1169	2648	4142
1170	2650	4139
1171	2652	4137
1172	2654	4134
1173	2656	4131
1174	2658	4129
1175	2660	4126
1176	2663	4124
1177	2665	4122
1178	2667	4120
1179	2669	4117
1180	2671	4114
1181	2673	4111
1182	2675	4108
1183	2677	4106
1184	2680	4105
1185	2682	4103
1186	2685	4101
1187	2687	4098
1188	2689	4096
1189	2691	4093
1190	2694	4091
1191	2696	4089
1192	2698	4086
1193	2700	4084
1194	2701	4081
1195	2704	4079
1196	2706	4076
1197	2708	4073
1198	2710	4072
1199	2712	4069
1200	2714	4066
1201	2716	4063
1202	2718	4060
1203	2720	4057
1204	2722	4055
1205	2725	4054
1206	2728	4053
1207	2730	4050
1208	2732	4048
1209	2734	4045
1210	2736	4042
1211	2738	4039
1212	2740	4037
1213	2743	4035
1214	2745	4033
1215	2747	4030
1216	2749	4027
1217	2751	4024
1218	2752	4022
1219	2754	4019
1220	2757	4017
1221	2759	4015
1222	2761	4012
1223	2764	4010
1224	2765	4007
1225	2767	4004
1226	2769	4002
1227	2771	3999
1228	2774	3997
1229	2776	3995
1230	2778	3992
1231	2780	3989
1232	2782	3986
1233	2783	3984
1234	2785	3981
1235	2788	3980
1236	2791	3978
1237	2793	3976
1238	2795	3973
1239	2797	3970
1240	2799	3968
1241	2801	3965
1242	2803	3962
1243	2805	3960
1244	2807	3958
1245	2809	3955
1246	2811	3952
1247	2813	3949
1248	2815	3947
1249	2817	3944
1250	2819	3942
1251	2822	3940
1252	2824	3937
1253	2826	3935
1254	2828	3932
1255	2830	3929
1256	2831	3926
1257	2833	3924
1258	2836	3922
1259	2838	3920
1260	2840	3917
1261	2842	3914
1262	2844	3911
1263	2846	3909
1264	2848	3906
1265	2850	3904
1266	2852	3902
1267	2855	3899
1268	2857	3897
1269	2859	3895
1270	2861	3892
1271	2863	3889
1272	2865	3887
1273	2867	3884
1274	2870	3883
1275	2872	3880
1276	2874	3877
1277	2875	3875
1278	2877	3872
1279	2879	3869
1280	2881	3866
1281	2884	3865
1282	2886	3863
1283	2888	3860
1284	2890	3857
1285	2892	3855
1286	2894	3852
1287	2896	3849
1288	2898	3847
1289	2900	3845
1290	2902	3842
1291	2904	3839
1292	2906	3837
1293	2908	3834
1294	2910	3831
1295	2912	3828
1296	2915	3827
1297	2917	3825
1298	2919	3823
1299	2921	3820
1300	2923	3817
1301	2925	3815
1302	2927	3812
1303	2929	3810
1304	2932	3808
1305	2934	3805
1306	2935	3802
1307	2937	3800
1308	2939	3797
1309	2941	3794
1310	2943	3791
1311	2945	3790
1312	2948	3788
1313	2950	3785
1314	2952	3783
1315	2954	3780
1316	2956	3777
1317	2958	3775
1318	2960	3772
1319	2963	3771
1320	2965	3769
1321	2967	3767
1322	2969	3764
1323	2971	3762
1324	2973	3759
1325	2975	3756
1326	2978	3754
1327	2980	3753
1328	2982	3750
1329	2984	3747
1330	2986	3745
1331	2988	3742
1332	2990	3739
1333	2992	3737
1334	2995	3735
1335	2997	3732
1336	2998	3730
1337	3000	3727
1338	3002	3724
1339	3004	3722
1340	3006	3719
1341	3009	3717
1342	3011	3716
1343	3013	3713
1344	3015	3710
1345	3017	3708
1346	3019	3705
1347	3021	3702
1348	3023	3700
1349	3025	3698
1350	3027	3695
1351	3029	3693
1352	3031	3690
1353	3033	3687
1354	3035	3685
1355	3037	3682
1356	3039	3679
1357	3041	3677
1358	3044	3675
1359	3045	3673
1360	3047	3670
1361	3049	3667
1362	3051	3664
1363	3053	3662
1364	3055	3659
1365	3058	3658
1366	3060	3655
1367	3062	3653
1368	3064	3651
1369	3066	3648
1370	3068	3645
1371	3070	3643
1372	3072	3641
1373	3075	3639
1374	3077	3636
1375	3078	3633
1376	3080	3631
1377	3082	3628
1378	3084	3625
1379	3086	3622
1380	3088	3621
1381	3091	3619
1382	3093	3616
1383	3095	3613
1384	3096	3611
1385	3098	3608
1386	3100	3606
1387	3102	3603
1388	3105	3601
1389	3107	3599
1390	3109	3597
1391	3111	3594
1392	3113	3591
1393	3115	3589
1394	3117	3586
1395	3119	3583
1396	3121	3582
1397	3124	3580
1398	3126	3577
1399	3128	3575
1400	3130	3573
1401	3133	3571
1402	3135	3569
1403	3138	3567
1404	3140	3565
1405	3142	3562
1406	3144	3559
1407	3145	3556
1408	3147	3554
1409	3149	3551
1410	3152	3549
1411	3154	3547
1412	3157	3545
1413	3159	3543
1414	3161	3541
1415	3163	3538
1416	3165	3536
1417	3167	3533
1418	3170	3532
1419	3171	3529
1420	3173	3526
1421	3175	3524
1422	3177	3521
1423	3179	3519
1424	3181	3516
1425	3184	3514
1426	3186	3512
1427	3188	3509
1428	3190	3507
1429	3192	3504
1430	3194	3502
1431	3196	3499
1432	3197	3496
1433	3200	3495
1434	3202	3492
1435	3204	3490
1436	3206	3487
1437	3208	3484
1438	3210	3482
1439	3212	3479
1440	3214	3477
1441	3216	3475
1442	3218	3473
1443	3220	3470
1444	3222	3468
1445	3224	3465
1446	3226	3462
1447	3228	3460
1448	3230	3457
1449	3233	3456
1450	3236	3454
1451	3238	3452
1452	3240	3449
1453	3242	3447
1454	3244	3444
1455	3246	3442
1456	3248	3440
1457	3250	3437
1458	3252	3435
1459	3254	3432
1460	3256	3430
1461	3258	3427
1462	3260	3425
1463	3263	3423
1464	3265	3421
1465	3268	3419
1466	3270	3417
1467	3272	3415
1468	3274	3412
1469	3276	3410
1470	3279	3408
1471	3281	3405
1472	3283	3403
1473	3284	3400
1474	3286	3398
1475	3288	3395
1476	3290	3393
1477	3293	3391
1478	3295	3389
1479	3297	3386
1480	3299	3384
1481	3301	3381
1482	3303	3379
1483	3305	3376
1484	3307	3374
1485	3309	3372
1486	3312	3370
1487	3314	3367
1488	3315	3364
1489	3317	3362
1490	3319	3359
1491	3321	3357
1492	3323	3354
1493	3325	3352
1494	3328	3350
1495	3329	3347
1496	3331	3345
1497	3333	3342
1498	3335	3339
1499	3337	3337
1500	3339	3334
1501	3341	3332
1502	3344	3331
1503	3346	3328
1504	3348	3325
1505	3350	3323
1506	3352	3320
1507	3354	3318
1508	3355	3315
1509	3358	3313
1510	3360	3311
1511	3362	3309
1512	3365	3307
1513	3367	3304
1514	3369	3302
1515	3370	3299
1516	3372	3297
1517	3375	3295
1518	3377	3292
1519	3379	3290
1520	3380	3287
1521	3382	3284
1522	3384	3282
1523	3386	3279
1524	3389	3278
1525	3391	3276
1526	3393	3273
1527	3395	3271
1528	3397	3268
1529	3399	3266
1530	3401	3263
1531	3403	3260
1532	3405	3259
1533	3407	3256
1534	3409	3254
1535	3411	3251
1536	3413	3248
1537	3415	3246
1538	3417	3244
1539	3419	3241
1540	3421	3239
1541	3424	3237
1542	3425	3235
1543	3428	3232
1544	3429	3230
1545	3431	3227
1546	3433	3225
1547	3436	3223
1548	3438	3221
1549	3440	3218
1550	3442	3216
1551	3444	3213
1552	3446	3211
1553	3448	3208
1554	3450	3206
1555	3453	3204
1556	3455	3202
1557	3457	3200
1558	3459	3197
1559	3461	3195
1560	3463	3192
1561	3465	3190
1562	3467	3188
1563	3470	3186
1564	3471	3183
1565	3473	3181
1566	3475	3178
1567	3477	3175
1568	3479	3173
1569	3481	3170
1570	3483	3168
1571	3486	3166
1572	3488	3164
1573	3489	3161
1574	3491	3159
1575	3493	3156
1576	3495	3154
1577	3497	3151
1578	3500	3149
1579	3502	3147
1580	3504	3145
1581	3506	3142
